movie_id,title,genre,poster,rating
184,"White Noise",Movie,https://image.tmdb.org/t/p/w500/ncB9SvOclmXYALlcAsF1jRIuISl.jpg,5.6
185,O'Horten,Movie,https://image.tmdb.org/t/p/w500/bOTDPnPVykfS2WprAJc5mkq5ltu.jpg,6.422
186,"Pray Away",Movie,https://image.tmdb.org/t/p/w500/1wikrtZZZoThwnHulB7klQek4Ai.jpg,6.682
187,"Little Man",Movie,https://image.tmdb.org/t/p/w500/9KzPw1VN0pMBnq1KIqBaLI8LAB7.jpg,5.9
188,"Ninja Warriors",Movie,https://image.tmdb.org/t/p/w500/ddNOt9GA87HK7YltiYwITIsyLmJ.jpg,5
189,Superman,Movie,https://image.tmdb.org/t/p/w500,4.7
190,"Perforations 2001",Movie,https://image.tmdb.org/t/p/w500/5e1UaGKyyaCdS65FvS5EZEmuupl.jpg,0
191,"The Thieving Magpie",Movie,https://image.tmdb.org/t/p/w500/lvNpUwVOlj9hoY0JiH5b5OHh9SJ.jpg,6.205
192,"Foreign Correspondent",Movie,https://image.tmdb.org/t/p/w500/n0WX6eIdIliKB66MI2MWZ3wHsoJ.jpg,7
193,"Black Mold",Movie,https://image.tmdb.org/t/p/w500/tEN12WSxepFqZmWEknBnrXoHDvL.jpg,5.154
194,Enough,Movie,https://image.tmdb.org/t/p/w500/yAfXnB6B69iM8KiWwzGulCXF4Mo.jpg,6.66
195,"What a Drag",Movie,https://image.tmdb.org/t/p/w500/eTsacNYD4grU2dAnINLUcttxzY2.jpg,5.835
196,"Full Out",Movie,https://image.tmdb.org/t/p/w500/e9c2JOwJlWUfIZRaxIWE2BZt5GV.jpg,7.233
197,"Caught Stealing",Movie,https://image.tmdb.org/t/p/w500/cvda8s5J8YaHjTyEyXQpvD6f3iV.jpg,6.904
198,"Captain America: Brave New World",Movie,https://image.tmdb.org/t/p/w500/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg,6
199,Mezcaliente,Movie,https://image.tmdb.org/t/p/w500/hhxUkdrYimwVmjSzHTTyglBquI3.jpg,0
200,"KL Vampires",Movie,https://image.tmdb.org/t/p/w500/yAvYROLySws3nTU9Es2yi76a1Zg.jpg,0
201,"28 Years Later",Movie,https://image.tmdb.org/t/p/w500/mIg1qCkVxnAlM2TK3RUF0tdEXlE.jpg,6.667
202,"Every Day",Movie,https://image.tmdb.org/t/p/w500/bj1XvLeU087dSnTHuhPpRcyyLNy.jpg,0
203,Titanic,Movie,https://image.tmdb.org/t/p/w500/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,7.904
204,"The Accountant²",Movie,https://image.tmdb.org/t/p/w500/lUvfTcOZiK0sdcX0WNLPbMyKjGm.jpg,7.125
205,"Golden Hour",Movie,https://image.tmdb.org/t/p/w500/7nfS3WRIh5SeMdmCPzZmbmmxxB6.jpg,6.3
206,"The Roses",Movie,https://image.tmdb.org/t/p/w500/98n5HnCJ5LnXKIMNP9SBfVNyxCE.jpg,6.799
